url,metadata
https://www.youtube.com/watch?v=Zu7bhH0-Pf0&list=PLEw2_FiCD9d-wywPQJoGigtJstf87kGdu&index=2&ab_channel=AHappierWorld,How to Stop The Deadliest Animal on Earth (Preventing Malaria)
https://www.youtube.com/watch?v=7PxkDkl_ylw&list=PLEw2_FiCD9d-wywPQJoGigtJstf87kGdu&ab_channel=AHappierWorld,"The Next Pandemic Could Be Worse, What Can We Do? (Preventing Engineered Pandemics)"
https://www.youtube.com/watch?v=kgAJntmfdGo&ab_channel=Pindex,"Random acts of kindness, w Stephen Fry/Pindex"
https://www.youtube.com/watch?v=LZhZxGljC8c ,How to start an effective charity / Katherine Savoie / EAGxAustralia 2019
https://www.youtube.com/watch?v=6mOnfk51wrw,Legislating to improve animal welfare / Emma Hurst / EAGxAustralia 2019
https://www.youtube.com/watch?v=4470xvUSkGM,Introduction to Effective Animal Advocacy / Michael Dello-Iacovo / EAGxAustralia 2019
https://www.youtube.com/watch?v=fz7dqWwYiCc,Promoting concern for wild animals internationally / Courtney Henry / EAGxAustralia 2019
https://www.youtube.com/watch?v=BzmBGElvS1s,The imperative to eliminate nuclear weapons / Tilman Ruff / EAGxAustralia 2019
https://www.youtube.com/watch?v=nSuDlSoCvTY,AI Governance: An Overview of the Field / Jade Leung / EAGxAustralia 2019
https://www.youtube.com/watch?v=oD5iER-MwRo,Effective Climate Change Philanthropy - John Halstead
https://www.youtube.com/watch?v=SfXJ7MUjeLg,"Julia Wise - Building a diverse, welcoming, and healthy community"
https://www.youtube.com/watch?v=smAkJrDfyjg,"Hayden Wilkinson - Doing less good, but for good reason"
https://www.youtube.com/watch?v=sG8r2tEiLWs,Marketing strategies for ideas that matter / Adam Long / EAGxAustralia 2019
https://www.youtube.com/watch?v=VeT3bjWbNaU,On measuring and maximising what matters / Michael Plant / EAGxAustralia 2019
https://www.youtube.com/watch?v=BvBZSiYqNLQ,Ezra Klein (New York Times) | EA Global: Reconnect 2021
https://www.youtube.com/watch?v=YMbpPoz9hWQ,Holden Karnofsky (Open Philanthropy) | EA Global: Reconnect 2021
https://www.youtube.com/watch?v=cIIcZZRUGk4,Maintaining motivation | EA Global: Reconnect 2021
https://www.youtube.com/watch?v=9NfUDBEWbjQ,Toby Ord (Future of Humanity Institute) | EA Global: Reconnect 2021
https://www.youtube.com/watch?v=gEJRdUMwtf8,Industrial alternative foods for global catastrophic risks | Juan García Martínez
https://www.youtube.com/watch?v=jCCqyKvP2kk,SCI Foundation: deworming done differently | Katie Fantaguzzi | EAGxAsia-Pacific 2020
https://www.youtube.com/watch?v=dbMp4pFVwnU,"AI alignment, philosophical pluralism, and the relevance of non-Western philosophy | Tan Zhi Xuan"
https://www.youtube.com/watch?v=66PWsXmWXfw,Expansion of animal advocacy and concern for wild animal suffering in India | Aditya SK
https://www.youtube.com/watch?v=2Nu7HNTld2s,How to do empirical cause prioritization research | Luisa Rodriguez | EAGxAsia-Pacific 2020
https://www.youtube.com/watch?v=tttGtfYFsdI,Mitigating catastrophic biorisks | Kevin Esvelt | EAGxAsia-Pacific 2020
https://www.youtube.com/watch?v=exX0uBcSovw,Suvita's first year: vaccines in the spotlight | Fiona Conlon | EAGxAsia-Pacific 2020
https://www.youtube.com/watch?v=jj4z9pjot_s,Bringing techno-globalism back: a romantically realist reframing of the US-China tech relationship
https://www.youtube.com/watch?v=u-JTLIt_HbU,A new tool for evaluating opportunities to help farm animals globally | Lucas Alvarenga
https://www.youtube.com/watch?v=nkZ-evKb3Ww,Fireside Chat | Nick Beckstead | EAGxAsia-Pacific 2020
https://www.youtube.com/watch?v=dOKnKsWzSPY,"Rob and Michelle from 80,000 Hours on longtermism, parenting, and getting the best advice"
https://www.youtube.com/watch?v=WShoODed1Q8,"WANBAM: Our successes, challenges, and opportunities to get involved | Kathryn Mecrow-Flynn"
https://www.youtube.com/watch?v=oAHe2OVehX8,Scaling alternative protein across Asia: filling critical gaps | Varun Deshpande & Elaine Siu
https://www.youtube.com/watch?v=65jPNBSY2BY,Seizing opportunities to improve animal welfare in Taiwan | Jonathon Tree | EAGxAsia-Pacific 2020
https://www.youtube.com/watch?v=mahDpBTGtdQ,Choosing effective causes in a radically uncertain world | Eva Vivalt | EAGxAsia-Pacific 2020
https://www.youtube.com/watch?v=e339i2nQiQ0,Engaging effectively with governments: a Philippine experience | Nastassja Quijano
https://www.youtube.com/watch?v=jNJHxbTagWc,Transforming how data drives decision-making in global development | Tony Senanayake
https://www.youtube.com/watch?v=RVEAXQMn7ms,Starting a charity: the power of contextual expertise | Nikita Patel & Corrina Vali
https://www.youtube.com/watch?v=RqoWjuZQ7mM,"Cellular agriculture: futureproofing our food systems for humans, animals and our planet | Bianca Le"
https://www.youtube.com/watch?v=Q54_vQ0OvO4,Meeting corporate cage-free egg pledges through impact incentives | Jayasimha Nuggehalli
https://www.youtube.com/watch?v=Ljwu0aiMiy8,Dual moral obligations and international cooperation against global catastrophic risks | Jenny Xiao
https://www.youtube.com/watch?v=OwpVx_e3IHo,GiveWell's current progress and priorities | Olivia Larsen | EAGxAsia-Pacific 2020
https://www.youtube.com/watch?v=VuEt3pAQ-BA,Why effective altruism is central to rebuilding social capital and egalitarianism | Andrew Leigh MP
https://www.youtube.com/watch?v=sbI4nLAiZRA,Building a strong community through effective altruism groups | Catherine Low | EAGxAsia-Pacific
https://www.youtube.com/watch?v=sjY6xy_VCGA,Our latest research and recommendations on climate change | Johannes Ackva | EAGxAsia-Pacific 2020
https://www.youtube.com/watch?v=OSBrlEd1qsI,Fireside chat | Peter Singer | EAGxAsia-Pacific 2020
https://www.youtube.com/watch?v=YMbpPoz9hWQ&t=25s,Holden Karnofsky (Open Philanthropy) | EA Global: Reconnect 2021
https://www.youtube.com/watch?v=ojfBF7cyhno,Australians' perceptions of global catastrophic risks | Emily Grundy | EAGxAsia-Pacific 2020
https://www.youtube.com/watch?v=ouIHIqLGGgg,Farm animal welfare and alternative protein opportunities in Asia-Pacific | Lewis Bollard
https://www.youtube.com/watch?v=aFAI8itZCGk,Fireside Chat | Jaan Tallinn | EAGxAsia-Pacific 2020
https://www.youtube.com/watch?v=GbLyrCHhJPc,International agreements to spend percentage of GDP on global public goods | Hauke Hillebrandt
https://www.youtube.com/watch?v=T9wI7Fm-yA4,Against Malaria Foundation: the impact of accountability | Rob Mather | EAGxAsia-Pacific 2020
