url,metadata
http://www.liquidgeneration.com/,"Arts | About.com: Animation Guide | Keep up with developments in online animation for all skill levels. Download tools, and seek inspiration from online work."
http://www.onlineanime.org/,"Arts | Toonhound | British cartoon, animation and comic strip creations - links, reviews and news from the UK."
http://www.ceres.dti.ne.jp/~nekoi/senno/senfirst.html,Arts | Enculturation: From Mouse to Mouse: Overcoming Information | Essay by Patricia Pisters on the animated image and its changing relationship with the cinematic image.
http://www.galeon.com/kmh/,"Arts | Digital Media FX: The History of Animation | Michael Crandol takes an exhaustive look at the history of animation and animators/visionaries like Max Fleisher, Walter Lantz, and Otto Messmer."
http://www.fanworkrecs.com/,Arts | Spark Online: Only Genius Is Genius | Chris Romano feels that the proliferation of Flash and other web-based animation technologies has not improved the overall quality of animation and cartoons.
http://www.animehouse.com/,"Arts | Richard's Animated Divots | Chronology of animated movies, television programs, and short cartoons. Includes animation filmographies and a list of anime television series."
http://www2.117.ne.jp/~mb1996ax/enadc.html,"Arts | Nini's Bishonen Dungeon | Shrines to Vega, Taiki, Dilandau, and Tiger Eye, as well as fan art, adoptions, and links."
http://archive.rhps.org/fritters/yui/index.html,"Arts | Site for Liz's Anime Favorites | Shrines to Duo, Ryoko, Shampoo, Katy the Kitty, Lady Une, Mimete, Junjun, Parapara, and Sailor Saturn with images, profiles, and links."
http://www.freecartoonsex.com/,"Arts | Azure Valley | Dedicated to anthropomorphic characters. Fan art, images, profiles, and links."
http://www.cutepet.org/,"Arts | Neko Central | Image galleries, descriptions, information, and media on cats from different series."
http://www.taremeparadise.com/,"Arts | Chibi Hime's Magic Shoppe 2 | Shrines to Escaflowne's Dilandau, Final Fantasy's Vincent, SoulTaker's Kyousuke, and Hsi Wu from Jackie Chan Adventures. Includes images, information, and fan fiction."
http://www.internetdump.com/users/pornographite/index1.html,"Arts | AniMen | Features men from Fushigi Yuugi, Sailor Moon, Escaflowne, Rayearth, Gundam Wing, Bubblegum Crisis/AD Police, Tenchi Muyo, Utena, and Ayashi no Ceres. Profiles, commentary, polls, fan fiction, images, downloads, and links."
http://darkkaminari.net,"Arts | American High School Anime Association | Mission statement, reviews, member area, links, and how to join."
http://www.iei.net/~bkos1/velneko.htm,"Arts | Anime Alberta | Message board, features, information, events and several groups. Alberta, Canada."
http://www9.kinghost.com/fetish/hentaibee/,"Arts | Yale Anime Society | Society charter, image and MIDI archive, schedule, member list, and links. Yale University, Connecticut, USA."
http://www.jasonmeador.com/,"Arts | No-Name Anime Society | Information about monthly showings and copies of newsletters. Saratoga, California, USA."
http://www.geocities.com/kaseychan17/index.html,"Arts | Carolina Otaku Uprising | General information, showing schedule, kendo club, and links. Chapel Hill, North Carolina, USA."
http://www.angelfire.com/journal/coldlemonade/index.html,"Arts | MIT Anime Club | Viewing schedule, club information, art, library, and links. Cambridge, Massachusetts, USA at Massachusetts Institute of Technology."
http://e.webring.com/hub?sid=&amp;ring=hentff98&amp;id=&amp;list,"Arts | University of Richmond Japanese Anime Club | UR Anime is no longer an active organization. However, the history of the club and all anime convention photo galleries are still showcased as a service to the public. Virginia, USA at University of Richmond."
http://www.nemurokinenkan.net,"Arts | Animated Perspectives | History, constitution, showings, and tape library. Stony Brook, New York, USA."
http://j-heaven.tripod.com/library.htm,"Arts | Anime @ Carleton | Includes information about the club, events, constitution, and anime facts. Ottawa, Ontario, Canada."
http://www.angelfire.com/poetry/nicolesstories/,"Arts | Society for Ottawa Anime Promotion | Events, news, forum, and newsletter. Ontario, Canada."
http://thesheeparecoming.tripod.com/papercrane/,"Arts | Japanese Animation Club of Orlando | Schedule, news, staff profiles, and photos. Orlando, Florida, USA at University of Central Florida."
http://www.geocities.com/eddie_monsoon2002/,"Arts | 10,000 Animeniacs | Officer listing, FAQ, rules, schedule, and constitution. Lubbock, Texas, USA."
http://www.shokushu.com/,"Arts | York University Anime and Manga Association (YAMA) | Events, club information, library, news, fan art, chat, and links. York University, Canada."
http://www.geocities.com/timessquare/arcade/7810/p_hgames.htm,"Arts | Emerald Tokyo Entertainment | Forum, membership information, news, art work, and links. Greenville, South Carolina, USA."
http://www.hentaisocialclub.com/ganguro/index.html,"Arts | Neo Anime Club | News, message boards, contact details, and mailing list. Pomona, California, USA at California State Polytechnic University."
http://ryogamasaki.netfirms.com/,"Arts | Harvard Anime Society | Information, news, officer list, library, links, and schedule. Cambridge, Massachusetts, USA at Harvard University."
http://members.tripod.com/~chaz16/3.html,"Arts | Huntsville Alabama Anime Society | Fan works, links, events and member list. Huntsville, Alabama, USA."
http://www.hentai-comics.com/,"Arts | University of Michigan's Animania | List of screenings, a few MP3s, and series information. [Ann Arbor, Michigan, USA at University of Michigan."
http://www.jastusa.com/,"Arts | Winnipeg Anime Club | Meeting information, how to join, library of titles, and forum. Manitoba, Canada."
http://www.peachprincess.com/,"Arts | Northern Virginia Anime Association | Forum, officers, schedule, directions, contacts, and links. Fairfax, Virginia, USA."
http://www.g-collections.com,"Arts | Anime Association of Northern Illinois University | Location, club history, constitution, club history, and show information. DeKalb, Illinois, USA."
http://www.hentai-games.com/,"Arts | Wyvern | Club information, gallery, forum, links and announcements. Ogden, Utah, USA at Weber State University."
http://www.canadahentai.com,Arts | Goddess of Love and Beauty Group | Yahoo Group for general shoujo anime and manga discussions.
http://www.hirameki-int.com,"Arts | Bloomsburg University Manga and Anime Club | Contains group information, news, meetings, member list, contact details, and links. Bloomsburg, Pennsylvania, USA."
http://www.himeyashop.com/,"Arts | AnimeXtreme | Showings, mailing list, members, how to join, multimedia, and links. Toronto, Canada."
http://www.jlist.com/,"Arts | Auburn University Society of Anime and Manga | Members, constitution, themes, quotes, and links. Auburn, Alabama, USA."
http://www.clubspooey.com/spooey/,"Arts | South Hills Anime Club | Club information, rules, survey, chat, links, and guestbook. Pittsburgh, Pennsylvania, USA."
http://www.hentaigamer.com,"Arts | Indiana Animation Club | Club information, soapbox forum, art gallery, links and contact information. Indianapolis, Indiana, USA."
http://www.pcrdist.com,"Arts | Fresno Anime | Schedule information, forums, contact information, and news. Fresno, California, USA."
http://www.densetsu.com/,"Arts | Otaku Anime | Club information, forum, galleries, blogs, Japanese lessons, otaku resources and mailing list. Livonia, Michigan, USA at Schoolcraft College."
http://www.animetric.com/bgames.html,"Arts | Delaware Anime Society | Mailing list, club information, forum, member spotlight, streaming radio shows, newsletter, store, oekaki, media, affiliates and linking, cultural exchange and japanese penpals. Wilmington and Dover, Delaware, USA and Pennsylvania, USA."
http://www.jmate.com/home.html,"Arts | CTRL-A | A gathering place for anime fans in Waterloo, Ontario, Canada. Hosts weekly gatherings including activities, showings, and social outings."
http://www.three-musketeers.net/mike/animeopinions.html,"Arts | Stevens Tech Anime Club | Club calendar, constitution, contact info, and links. Hoboken, New Jersey, USA at Stevens Institute of Technology."
http://engbishoujo.tripod.com,"Arts | Anime Kurabu | Club information, calendar, forum, news, and gallery. San Antonio, Texas, USA."
http://www.somethingawful.com/hentai/,"Arts | DC Anime | Events calendar, forums, and gallery. Washington DC, Maryland and Virginia, USA."
http://www.geocities.com/aetus_kane/reviews.html,"Arts | University of Texas at Austin Anime Club | Includes information about the organization and schedules. Austin, Texas, USA at University of Texas."
http://www.hentaigameszone.com,"Arts | ECU Japan League | News, photos, schedule, member list, and videos. Greenville, North Carolina, USA."
http://www.hentaineko.com/html_peekv/peek_vgames.shtml,"Arts | Brown Anime Society | Brown University's Club. Information, news, events, synopses, library, and links. Providence, Rhode Island, USA."
http://www.asahi-net.or.jp/~uz9y-ab/yaoicomic.htm,"Arts | JCON: Japanese Connection: | About, activities, constitution, member information, contacts and links. Athens, Ohio, USA at Ohio University."
http://www.geocities.com/tokyo/villa/9953/yaoimain.html,"Arts | Pin0yotaku | Yahoo group for people located in Sacramento, San Francisco, San Jose, CA . Primarily for Filipinos to promote and enjoy anime."
http://www.commonastherain.com/eros.html,"Arts | Green Mustard / Wasabi Anime | Provides support and anime resources to the Southeastern United States. Includes contact information, forum, links, news and photographs. Florida, USA."
http://www.angelfire.com/anime3/hoshinokaze/,"Arts | Anime and Manga Research Circle | Yahoo Group for scholars engaged in the academic study of anime and manga, associated subcultures, and Japanese popular culture."
http://www.discarnate.com/boysnextdoor/,"Arts | Cal-Animage Alpha | Meets weekly during the school year to show videos. Archives, schedule, and library. Berkeley, California, USA."
http://www.geocities.com/spirestudio/index.htm,"Arts | Mad Mackerel's Kawaii Stuff | Promo anime leaflet gallery, cel and UFO catcher gallery, as well as a shopping guide to Tokyo."
http://www.angelfire.com/me3/mandaplay/index.html,"Arts | Anime-Online | Trading post, cel collection, shitajiki gallery, doujinshi scans, a web ring, and merchandise information."
